"Year","Artist(s)","Title"
"1975","Paul Anka & Odia Coates","One Man Woman/One Woman Man"
"1975","Donny & Marie Osmond","Morning Side of the Mountain"
"1975","Grand Funk Railroad","Some Kind of Wonderful"
"1975","John Denver","Im Sorry"
"1975","Paul McCartney & Wings","Juniors Farm"
"1975","Neil Sedaka & Elton John","Bad Blood"
"1975","Disco-Tex","Get Dancin"
"1976","Elton John & Kiki Dee","Dont Go Breaking My Heart"
"1976","Walter Murphy & The Big Apple Band","A Fifth of Beethoven"
"1976","Diana Ross","Love Hangover"
"1976","The Bellamy Brothers","Let Your Love Flow"
"1976","Donny & Marie Osmond","Deep Purple"
"1976","Fleetwood Mac","Say You Love Me"
"1976","C. W. McCall","Convoy"
"1976","Wing","Baby Face"
"1976","Keith Carradine","Im Easy"
"1976","Rick Dees & His Cast of Idiots","Disco Duck"
"1977","Hot","Angel in Your Arms"
"1977","ABBA","Dancing Queen"
"1977","Peter McCann","Do You Wanna Make Love"
"1977","Bill Conti,  DeEtta Little","Gonna Fly Now"
"1977","Steve Miller Band","Fly Like an Eagle"
"1977","Johnny Rivers","Swayin to the Music (Slow Dancing)"
"1977","Bob Seger & The Silver Bullet Band","Night Moves"
"1977","Lord David Dundas","Jeans On"
"1977","C.J. & Company","Devils Gun"
"1978","John Travolta & Olivia Newton-John","Youre the One That I Want"
"1978","Johnny Mathis & Deniece Williams","Too Much, Too Little, Too Late"
"1978","Roberta Flack & Donny Hathaway","The Closer I Get to You"
"1978","Bob Seger & The Silver Bullet Band","Still the Same"
"1978","John Travolta & Olivia Newton-John","Summer Nights"
"1978","Patti Smith Group","Because the Night"
"1978","LeBlanc & Carr","Falling"
"1978","Kenny Loggins & Stevie Nicks","Whenever I Call You Friend"
"1978","Bob Welch","Ebony Eyes"
"1978","Bob Seger & The Silver Bullet Band","Hollywood Nights"
"1979","Dr. Hook & The Medicine Show","When Youre in Love with a Beautiful Woman"
"1979","Neil Diamond & Barbra Streisand","You Dont Bring Me Flowers"
"1979","Suzi Quatro & Chris Norman","Stumblin In"
"1979","Dr. Hook & The Medicine Show","Sharing the Night Together"
"1979","Kenny Rogers","She Believes in Me"
"1979","Frank Mills","Music Box Dancer"
"1979","Earth, Wind & Fire & The Emotions","Boogie Wonderland"
"1979","GQ","Disco Nights (Rock-Freak)"
"1979","Linda Ronstadt","Ooo Baby Baby"
"1979","Bob Seger & The Silver Bullet Band","Weve Got Tonight"
"1979","Nigel Olsson","Dancin Shoes"
"1979","GQ","I Do Love You"
"1980","Pink Floyd","Another Brick in the Wall Part II"
"1980","Teri DeSario & KC","Yes Im Ready"
"1980","Kenny Loggins","This Is It"
"1980","Kenny Rogers & Kim Carnes","Dont Fall in Love with a Dreamer"
"1980","The SOS Band","Take Your Time (Do It Right)"
"1980","Barbra Streisand & Donna Summer","No More Tears (Enough Is Enough)"
"1980","The Pretenders","Brass in Pocket"
"1980","Benny Mardones","Into the Night"
"1980","Neil & Dara Sedaka","Shouldve Never Let You Go"
"1980","Peaches & Herb","I Pledge My Love"
"1981","Diana Ross & Lionel Richie","Endless Love"
"1981","Joey Scarbury","Theme from The Greatest American Hero (Believe It or Not)"
"1981","Grover Washington  Jr. & Bill Withers","Just the Two of Us"
"1981","Barbra Streisand & Barry Gibb","Guilty"
"1981","The Manhattan Transfer","The Boy from New York City"
"1981","The Greg Kihn Band","The Breakup Song (They Dont Write Em)"
"1981","Dottie West & Kenny Rogers","What Are We Doin in Love"
"1981","Stevie Nicks & Tom Petty","Stop Draggin My Heart Around"
"1981","John Cougar","Aint Even Done With The Night"
"1981","George Duke & Stanley Clarke","Sweet Baby"
"1981","Barbra Streisand & Barry Gibb","What Kind of Fool"
"1981","Olivia Newton-John & Cliff Richard","Suddenly"
"1981","The Beach Boys","The Beach Boys Medley"
"1981","Gary Wright","Really Wanna Know You"
"1982","John Cougar","Jack & Diane"
"1982","John Cougar","Hurts So Good"
"1982","Stevie Wonder","That Girl"
"1982","Daryl Hall & John Oates","Did It in a Minute"
"1982","Joan Jett & The Blackhearts","Crimson and Clover"
"1982","Billy Idol","Hot in the City"
"1982","Michael Murphey","Whats Forever For"
"1982","Stevie Nicks","Edge of Seventeen (Just Like the White Winged Dove)"
"1983","Bob Seger & The Silver Bullet Band","Shame on the Moon"
"1983","The Greg Kihn Band","Jeopardy"
"1983","Adam Ant","Goody Two-Shoes"
"1983","Laura Branigan","Solitaire"
"1983","Daryl Hall & John Oates","Family Man"
"1983","Eric Clapton","Ive Got a Rock n Roll Heart"
"1984","Daryl Hall & John Oates","Say It Isnt So"
"1984","Olivia Newton-John","Twist of Fate"
"1984","Kenny Rogers","Islands in the Stream"
"1984","KC & the Sunshine Band","Give It Up"
"1984","John Cougar Mellencamp","Pink Houses"
"1985","USA for Africa","We Are the World"
"1985","Stevie Wonder","Part-Time Lover"
"1985","Jack Wagner","All I Need"
"1985","Phil Collins","Dont Lose My Number"
"1985","John Cougar Mellencamp","Lonely Ol Night"
"1986","Miami Sound Machine","Words Get in the Way"
"1986","John Cougar Mellencamp","R.O.C.K. in the U.S.A."
"1986","John Cougar Mellencamp","Small Town"
"1986","Starpoint","Object of My Desire"
"1986","Force MDs","Tender Love"
"1987","Bob Seger","Shakedown"
"1987","Michael Jackson with Siedah Garrett","I Just Cant Stop Loving You"
"1988","The Bangles","A Hazy Shade of Winter"
"1988","Pet Shop Boys with Dusty Springfield","What Have I Done to Deserve This?"
"1988","Roger Troutman","I Want to Be Your Man"
"1988","Daryl Hall & John Oates","Everything Your Heart Desires"
"1988","John Cougar Mellencamp","Cherry Bomb"
"1989","Will to Power","Baby, I Love Your Way/Freebird Medley"
"1989","Edie Brickell & New Bohemians","What I Am"
"1989","Ann Wilson","Surrender To Me"
"1990","Jon Bon Jovi","Blaze of Glory"
"1990","The B-52s","Roam"
"1990","The B-52s","Love Shack"
"1991","Mariah Carey","Someday"
"1991","DJ Jazzy Jeff & The Fresh Prince","Summertime"
"1991","Rythm Syndicate","P.A.S.S.I.O.N."
"1991","Prince","Cream"
"1991","Jesus Jones","Real Real Real"
"1992","Jodeci","Come and Talk to Me"
"1992","Shakespears Sister","Stay"
"1992","Hammer","2 Legit 2 Quit"
"1993","Prince","7"
"1993","DJ Jazzy Jeff & The Fresh Prince","Boom! Shake the Room"
"1993","Dino","O-o-h Child"
"1994","Bryan Adams,  Rod Stewart","All for Love"
"1994","Mariah Carey","Without You / Never Forget You"
"1994","Snoop Doggy Dogg","Gin and Juice"
"1994","Immature","Never Lie"
"1994","Snoop Doggy Dogg","Whats My Name?"
"1994","Ini Kamoze","Here Comes the Hotstepper"
"1995","The Notorious B.I.G.","One More Chance"
"1995","Method Man","Ill Be There for You/Youre All I Need to Get By"
"1995","4 P.M.","Sukiyaki"
"1995","Immature","Constantly"
"1996","Los del Rio","Macarena (Bayside Boys Mix)"
"1996","Toni Braxton","You're Makin' Me High / Let It Flow"
"1996","Whitney Houston","Exhale (Shoop Shoop)"
"1996","Gin Blossoms","Follow You Down / Til I Hear It from You"
"1996","2Pac","How Do U Want It / California Love"
"1996","Alanis Morissette","You Learn / You Oughta Know"
"1996","Monica","Before You Walk Out of My Life / Like This and Like That"
"1996","Monica","Why I Love You So Much / Ain't Nobody"
"1996","Hootie & the Blowfish","Old Man and Me (When I Get To Heaven)"
"1996","Crucial Conflict","Hay"
"1997","Elton John","Something About the Way You Look Tonight / Candle in the Wind 1997"
"1997","Jewel","Foolish Games / You Were Meant for Me"
"1997","Keith Sweat","Nobody_(Keith_Sweat_song)"
"1997","Toni Braxton","I Don't Want To / I Love Me Some Him"
"1997","Various artists","The Jock Jam"
"1997","Luscious Jackson","Naked Eye"
"1997","Los del Rio","Macarena (Bayside Boys Mix)"
"1997","Mr. President","Coco Jambo"
"1997","The Cranberries","When You're Gone / Free to Decide"
"1997","The Blackout All-Stars","I Like It"
"1997","Toni Braxton","You're Makin' Me High / Let It Flow"
"1998","Usher","Nice and Slow"
"1998","N Sync","I Want You Back"
"1998","Five","When the Lights Go Out"
"1998","Mase","Feel So Good"
"1998","K. P. & Envyi","Swing My Way"
"1998","Pras Michel","Ghetto Supastar (That Is What You Are)"
"1998","Jewel","Foolish Games / You Were Meant for Me"
"1999","LFO","Summer Girls"
"1999","N Sync","(God Must Have Spent) A Little More Time on You"
"1999","Matchbox 20","Back 2 Good"
"1999","Jo Dee Messina","A Lesson in Leavin"
"1999","N Sync","Music of My Heart"
"2000","Sisqo","Thong Song"
"2000","Christina Aguilera","What a Girl Wants"
"2000","Brian McKnight","Back at One"
"2000","N Sync","Bye Bye Bye"
"2000","N Sync","Its Gonna Be Me"
"2000","Nelly","Country Grammar (Hot Shit)"
"2000","Jagged Edge","Lets Get Married"
"2000","Westlife","Swear It Again"
"2000","LFO","Girl on TV"
"2000","Lil Bow Wow","Bounce with Me"
"2000","Mary Mary","Shackles (Praise You)"
"2001","Train","Drops of Jupiter (Tell Me)"
"2001","Christina Aguilera, Lil Kim, Mya","Lady Marmalade"
"2001","N Sync","This I Promise You"
"2001","Nelly Furtado","Turn Off the Light"
"2002","N Sync","Girlfriend"
"2002","Ja Rule","Down 4 U"
"2002","N Sync","Gone"
"2002","Fat Joe","We Thuggin"
"2003","Nelly,  P. Diddy","Shake Ya Tailfeather"
"2003","Lil Kim","Magic Stick"
"2003","Lumidee","Never Leave You (Uh Oooh, Uh Oooh)"
"2003","Ludacris","Stand Up"
"2003","Mya","My Love Is Like...Wo"
"2003","Alan Jackson","Its Five OClock Somewhere"
"2004","Lil Jon & the East Side Boyz","Get Low"
"2005","Ciara","1, 2 Step"
"2005","Bobby Valentino","Slow Down"
"2005","Young Jeezy","Soul Survivor"
"2006","Nelly,  Paul Wall","Grillz"
"2006","The Fray","How to Save a Life"
"2006","Rihanna","Unfaithful"
"2006","Jamie Foxx","Unpredictable"
"2006","Bon Jovi","Who Says You Cant Go Home"
"2006","Pussycat Dolls","Beep"
"2006","John Mayer","Waiting on the World to Change"
"2006","Young Jeezy","Soul Survivor"
"2007","Akon","Smack That"
"2007","Soulja Boy Tell Em","Crank That (Soulja Boy)"
"2007","The Fray","How to Save a Life"
"2007","Robin Thicke","Lost Without U"
"2007","T.I.","Big Shit Poppin (Do It)"
"2007","Alicia Keys","No One"
"2007","Boys Like Girls","The Great Escape"
"2007","Young Jeezy","Go Getta"
"2008","T-Pain","Cant Believe It"
"2008","Soulja Boy Tell Em","Crank That (Soulja Boy)"
"2008","John Mayer","Say"
"2008","Young Jeezy","Put On"
"2009","Soulja Boy Tell Em","Kiss Me thru the Phone"
"2009","Eminem,  Dr. Dre","Crack a Bottle"
"2009","Soulja Boy Tell Em","Turn My Swag On"
"2009","Michael Franti & Spearhead","Say Hey (I Love You)"
"2010","Allen,  KrisKris Allen","Live Like Were Dying"
"2010","Rihanna","Hard"
"2010","Sean Kingston","Eenie Meenie"
"2011","P!nk","Fuckin Perfect"
"2012","Kanye West,  Big Sean,  Pusha T","Mercy"
"2012","Justin Bieber","Boyfriend"
"2012","PSY","Gangnam Style"
"2012","Luke Bryan","I Dont Want This Night to End"
"2013","Anna Kendrick","Cups (Pitch Perfects When Im Gone)"
"2013","ASAP Rocky","Fuckin Problems"
"2013","Mumford & Sons","I Will Wait"
"2013","PSY","Gangnam Style"
"2013","Rihanna","Pour It Up"
"2013","Rocko","U.O.E.N.O."
"2014","Jessie J,  Ariana Grande ","Bang Bang"
"2014","Chris Brown","Loyal"
"2014","Enrique Iglesias","Bailando"
"2014","Bobby Shmurda","Hot Boy"
"2014","Imagine Dragons","Radioactive"
"2014","YG","My Hitta"
"2014","Rich Gang","Lifestyle"
